name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,instructions,name_in_persian,instructions_in_persian
Alternate Heel Touchers,pull,beginner,isolation,body only,abdominals,,strength,"Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position., Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement., Now go back slowly to the starting position as you inhale., Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition., Continue alternating sides in this manner until all prescribed repetitions are done.",لمس متناوب پاشنه پا,"روی زمین دراز بکشید، زانوها خم باشند و پاها روی زمین حدود ۱۸ تا ۲۴ اینچ از هم فاصله داشته باشند. بازوهایتان باید در کنار بدنتان کشیده باشند. این حالت شروع شما خواهد بود. روی تنه خود به جلو و حدود ۳ تا ۴ اینچ به سمت راست خم شوید و پاشنه راست خود را لمس کنید و انقباض را برای یک ثانیه نگه دارید. هنگام انجام این حرکت بازدم کنید. اکنون به آرامی به حالت شروع برگردید و همزمان با دم، نفس بکشید. اکنون روی تنه خود به جلو و حدود ۳ تا ۴ اینچ به سمت چپ خم شوید و پاشنه چپ خود را لمس کنید و انقباض را برای یک ثانیه نگه دارید. هنگام انجام این حرکت بازدم کنید و سپس همزمان با دم به حالت شروع برگردید. اکنون که هر دو پاشنه لمس شده‌اند، این ۱ تکرار محسوب می‌شود. به همین ترتیب، حرکت را به طور متناوب در طرفین ادامه دهید تا تمام تکرارهای تجویز شده انجام شود."
Alternate Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,forearms,strength,"Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position., While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move., Slowly begin to bring the dumbbell back to starting position as your breathe in., Repeat the movement with the left hand. This equals one repetition., Continue alternating in this manner for the recommended amount of repetitions.",جلو بازو دمبل با شیب متناوب,"روی یک نیمکت شیب‌دار بنشینید و در هر دست یک دمبل را در امتداد بازوها نگه دارید. نکته: آرنج‌ها را نزدیک به تنه نگه دارید. این حالت شروع شما خواهد بود. در حالی که بازوی بالایی را ثابت نگه داشته‌اید، وزنه مناسب را به جلو خم کنید و همزمان با بازدم، عضلات دوسر بازو را منقبض کنید. در حین انجام این کار، دست را بچرخانید تا کف دست رو به بالا باشد. حرکت را تا زمانی که عضلات دوسر بازو کاملاً منقبض شوند و دمبل‌ها در سطح شانه قرار گیرند، ادامه دهید. در حالی که عضلات دوسر بازو را منقبض می‌کنید، برای یک ثانیه در حالت انقباض بمانید. نکته: فقط ساعدها باید حرکت کنند. در حالی که نفس خود را به داخل می‌کشید، به آرامی شروع به بازگرداندن دمبل به حالت شروع کنید. حرکت را با دست چپ تکرار کنید. این معادل یک تکرار است. به طور متناوب به این روش برای تعداد تکرارهای توصیه شده ادامه دهید."
Alternate Leg Diagonal Bound,push,beginner,compound,,quadriceps,"abductors, adductors, calves, glutes, hamstrings",plyometrics,"Assume a comfortable stance with one foot slightly in front of the other., Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound., It may help to use a line on the ground to guage distance from side to side., Repeat the sequence with the other leg.",پا را به صورت مورب به صورت متناوب ببندید,"با یک پا کمی جلوتر از پای دیگر، در یک حالت راحت قرار بگیرید. با فشار آوردن با پای جلویی شروع کنید، زانوی مخالف را به جلو و تا حد امکان بالا ببرید و قبل از فرود آمدن، آن را پایین بیاورید. سعی کنید با هر پرش، بیشترین فاصله را از هر طرف طی کنید. استفاده از یک خط روی زمین برای اندازه‌گیری فاصله از یک طرف به طرف دیگر می‌تواند مفید باشد. این حرکت را با پای دیگر تکرار کنید."
Alternating Cable Shoulder Press,push,beginner,compound,cable,shoulders,triceps,strength,"Move the cables to the bottom of the tower and select an appropriate weight., Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position., Keeping your head and chest up, extend through the elbow to press one side directly over head., After pausing at the top, return to the starting position and repeat on the opposite side.",پرس سرشانه با کابل متناوب,"کابل‌ها را به پایین برج منتقل کنید و وزنه مناسبی انتخاب کنید. کابل‌ها را بگیرید و آنها را در ارتفاع شانه نگه دارید، کف دست‌ها رو به جلو باشد. این وضعیت شروع شما خواهد بود. سر و سینه خود را بالا نگه دارید، از طریق آرنج خود را بکشید تا یک طرف را مستقیماً بالای سر فشار دهید. پس از مکث در بالا، به وضعیت شروع برگردید و در سمت مقابل تکرار کنید."
Alternating Deltoid Raise,push,beginner,isolation,dumbbell,shoulders,,strength,"In a standing position, hold a pair of dumbbells at your side., Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating., Return the weights to your side., On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height., Return the weights to the starting position and continue alternating to the front and side.",بالا بردن متناوب دلتوئید,"در حالت ایستاده، یک جفت دمبل را در کنار خود نگه دارید. آرنج‌های خود را کمی خم نگه دارید و وزنه‌ها را مستقیماً در جلوی خود تا ارتفاع شانه بالا بیاورید و از هرگونه چرخش یا تقلب خودداری کنید. وزنه‌ها را به پهلو برگردانید. در تکرار بعدی، وزنه‌ها را به صورت جانبی بالا بیاورید و آنها را تا ارتفاع شانه به پهلو بالا ببرید. وزنه‌ها را به حالت شروع برگردانید و به طور متناوب به جلو و پهلو ادامه دهید."
Alternating Floor Press,push,beginner,compound,kettlebells,chest,"abdominals, shoulders, triceps",strength,"Lie on the floor with two kettlebells next to your shoulders., Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward., Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell., Raise the kettlebell and repeat on the opposite side.",پرس متناوب از کف,"روی زمین دراز بکشید و دو کتل‌بل را کنار شانه‌هایتان قرار دهید. یکی را روی سینه و سپس دیگری را روی دسته قرار دهید، کتل‌بل‌ها را روی دسته بگیرید و کف دست‌ها رو به جلو باشد. هر دو دست را دراز کنید، طوری که کتل‌بل‌ها بالای سینه شما نگه داشته شوند. یک کتل‌بل را پایین بیاورید، آن را به سمت سینه خود بیاورید و مچ دست را در جهت کتل‌بل قفل شده بچرخانید. کتل‌بل را بالا بیاورید و در سمت مخالف تکرار کنید."
Alternating Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,"biceps, calves, forearms, glutes, lower back, traps",strength,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead., Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so., Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.",متناوب آویزان کردن تمیز,"دو کتل‌بل را بین پاهای خود قرار دهید. برای قرار گرفتن در موقعیت شروع، باسن خود را به عقب فشار دهید و مستقیم به جلو نگاه کنید. یک کتل‌بل را به شانه خود بچسبانید و کتل‌بل دیگر را در حالت آویزان نگه دارید. با کشش پاها و باسن، کتل‌بل را به شانه خود بچسبانید و کتل‌بل را به سمت شانه‌های خود بکشید. در حین انجام این کار، مچ دست خود را بچرخانید. کتل‌بل تمیز شده را به حالت آویزان پایین بیاورید و کتل‌بل جایگزین را بکشید. تکرار کنید."
Alternating Kettlebell Press,push,intermediate,compound,kettlebells,shoulders,triceps,strength,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so., Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary ., Lower the pressed kettlebell to the starting position and immediately press with your other arm.",پرس متناوب کتل‌بل,"دو کتل‌بل را به شانه‌هایتان بچسبانید. با کشیدن کتل‌بل‌ها از طریق پاها و باسن، کتل‌بل‌ها را به شانه‌هایتان بچسبانید و همزمان کتل‌بل‌ها را به سمت شانه‌هایتان بکشید. همزمان با این کار، مچ دست‌هایتان را بچرخانید. یکی را مستقیماً بالای سر با کشیدن آرنج فشار دهید، آن را بچرخانید تا کف دست رو به جلو باشد و کتل‌بل دیگر را ثابت نگه دارید. کتل‌بل فشرده شده را به حالت شروع پایین بیاورید و بلافاصله با بازوی دیگرتان فشار دهید."
Alternating Kettlebell Row,pull,intermediate,isolation,kettlebells,middle back,"biceps, lats",strength,"Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles., Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage., Lower the kettlebell in the working arm and repeat with your other arm.",پارویی با کتل‌بل متناوب,"دو کتل‌بل را جلوی پاهایتان قرار دهید. زانوهایتان را کمی خم کنید و تا حد امکان باسن خود را به سمت بیرون فشار دهید. هنگام خم شدن برای قرار گرفتن در حالت شروع، هر دو کتل‌بل را از دسته‌ها بگیرید. یک کتل‌بل را از زمین بلند کنید و کتل‌بل دیگر را در دست بگیرید. همزمان با خم کردن آرنج، کتف سمت تمرین را به سمت عقب بکشید و کتل‌بل را به سمت شکم یا قفسه سینه خود بکشید. کتل‌بل را در دست تمرین پایین بیاورید و با دست دیگر خود تکرار کنید."
Alternating Renegade Row,pull,expert,compound,kettlebells,middle back,"abdominals, biceps, chest, lats, triceps",strength,"Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support., Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side., Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps.",ردیف متناوب یاغی,"دو کتل‌بل را به اندازه عرض شانه روی زمین قرار دهید. روی انگشتان پا و دست‌ها طوری قرار بگیرید که انگار می‌خواهید شنا سوئدی انجام دهید، بدن صاف و کشیده باشد. از دسته‌های کتل‌بل برای حمایت از بالاتنه خود استفاده کنید. ممکن است لازم باشد پاهای خود را برای پشتیبانی باز کنید. یک کتل‌بل را به زمین فشار دهید و کتل‌بل دیگر را پارو بزنید، در حالی که آرنج را خم می‌کنید و آن را به سمت خود می‌کشید، تیغه شانه سمت فعال را به عقب بکشید. سپس کتل‌بل را روی زمین پایین بیاورید و کتل‌بل را در دست مخالف شروع کنید. چندین تکرار تکرار کنید."
Ankle Circles,pull,beginner,isolation,,calves,,stretching,"Use a sturdy object like a squat rack to hold yourself., Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement., When you are done with the right foot, then repeat with the left leg.",چرخش مچ پا,"از یک جسم محکم مانند پایه اسکات برای نگه داشتن خود استفاده کنید. پای راست را در هوا بلند کنید (فقط حدود ۵ سانتی‌متر از زمین) و با انگشت شست پا یک حرکت دایره‌ای انجام دهید. وانمود کنید که با آن یک دایره بزرگ رسم می‌کنید. نکته: هر دایره معادل ۱ تکرار است. هنگام انجام حرکت به طور عادی نفس بکشید. وقتی حرکت با پای راست تمام شد، با پای چپ تکرار کنید."
Ankle On The Knee,static,beginner,,,glutes,,stretching,"From a lying position, bend your knees and keep your feet on the floor., Place your ankle of one foot on your opposite knee., Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.",مچ پا روی زانو,"در حالت درازکش، زانوهای خود را خم کنید و کف پاهایتان را روی زمین نگه دارید. مچ پای یک پا را روی زانوی مخالف قرار دهید. ران یا زانوی پای زیرین را بگیرید و هر دو پا را به داخل سینه بکشید. گردن و شانه‌های خود را شل کنید. 10 تا 20 ثانیه در این حالت بمانید و سپس پاها را عوض کنید."
Anterior Tibialis-SMR,static,intermediate,,other,calves,,stretching,"Begin seated on the ground with your legs bent and your feet on the floor., Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.",تیبیالیس قدامی-SMR,"روی زمین بنشینید، پاهایتان را خم کنید و کف پاهایتان را روی زمین قرار دهید. با استفاده از غلتک عضلانی یا وردنه، به عضلات قسمت بیرونی ساق پای خود فشار وارد کنید. از زیر زانو تا بالای مچ پا کار کنید و در نقاط تنش به مدت 10 تا 30 ثانیه مکث کنید. این حرکت را روی پای دیگر تکرار کنید."
Anti-Gravity Press,push,beginner,compound,barbell,shoulders,"middle back, traps, triceps",strength,"Place a bar on the ground behind the head of an incline bench., Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position., To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement., Return to the starting position and repeat to complete the set.",پرس ضد جاذبه,"یک میله را روی زمین پشت سر یک نیمکت شیب‌دار قرار دهید. روی نیمکت دراز بکشید، صورتتان رو به پایین باشد. با گرفتن دست‌ها به سمت داخل، هالتر را از روی زمین بردارید. آرنج‌ها را خم کنید و با انجام یک حرکت جلو بازو معکوس، هالتر را به سینه خود نزدیک کنید. این حالت شروع شما خواهد بود. برای شروع، هالتر را با باز کردن آرنج‌ها جلوی سر خود فشار دهید. در طول حرکت، بازوهای خود را موازی با زمین نگه دارید. به حالت شروع برگردید و برای تکمیل ست، تکرار کنید."
Arm Circles,push,beginner,isolation,,shoulders,traps,stretching,"Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position., Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement., Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.",حلقه زدن با بازو,"بایستید و بازوهای خود را مستقیماً در کنار بدن خود دراز کنید. بازوها باید موازی با زمین و عمود (زاویه ۹۰ درجه) با تنه شما باشند. این حالت شروع شما خواهد بود. به آرامی با هر بازوی کشیده شده، دایره‌هایی با قطر حدود ۳۰ سانتی‌متر ایجاد کنید. هنگام انجام حرکت، به طور عادی نفس بکشید. حرکت دایره‌ای بازوهای کشیده شده را حدود ده ثانیه ادامه دهید. سپس حرکت را معکوس کنید و در جهت مخالف حرکت دهید."
Arnold Dumbbell Press,push,intermediate,compound,dumbbell,shoulders,triceps,strength,"Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl., Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward., Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement., After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement., Repeat for the recommended amount of repetitions.",پرس سینه با دمبل آرنولد,"روی یک نیمکت ورزشی با پشتی بنشینید و دو دمبل را در جلوی خود، تقریباً در سطح بالای سینه نگه دارید، به طوری که کف دست‌ها رو به بدن و آرنج‌ها خم باشند. نکته: بازوهای شما باید در کنار تنه شما باشند. وضعیت شروع باید مانند قسمت منقبض شده حرکت جلو بازو با دمبل باشد. حال برای انجام حرکت، دمبل‌ها را در حالی که کف دست‌های خود را می‌چرخانید، بالا بیاورید تا زمانی که رو به جلو قرار گیرند. به بالا بردن دمبل‌ها ادامه دهید تا بازوهای شما در حالت بازوی صاف، بالای سرتان کشیده شوند. هنگام انجام این بخش از حرکت، نفس خود را بیرون دهید. پس از یک مکث دوم در بالا، با چرخاندن کف دست‌های خود به سمت خود، شروع به پایین آوردن دمبل‌ها به وضعیت اولیه کنید. نکته: بازوی چپ در خلاف جهت عقربه‌های ساعت و بازوی راست در جهت عقربه‌های ساعت می‌چرخد. هنگام انجام این بخش از حرکت، نفس بکشید. این حرکت را به تعداد تکرار توصیه شده تکرار کنید."
